Name	PeakMode	Ctrl
hPSC_Ctl_OCT4CRISPRi_CnR_IgG	NULL	NULL
hPSC_d3_OCT4CRISPRi_CnR_IgG	NULL	NULL
hPSC_d4_OCT4CRISPRi_CnR_IgG	NULL	NULL
hPSC_Ctl_OCT4CRISPRi_CnR_H3K27me3	histone	hPSC_Ctl_OCT4CRISPRi_CnR_IgG
hPSC_d3_OCT4CRISPRi_CnR_H3K27me3	histone	hPSC_d3_OCT4CRISPRi_CnR_IgG
hPSC_d4_OCT4CRISPRi_CnR_H3K27me3	histone	hPSC_d4_OCT4CRISPRi_CnR_IgG
hPSC_Ctl_OCT4CRISPRi_CnR_H3K9me2	histone	hPSC_Ctl_OCT4CRISPRi_CnR_IgG
hPSC_d4_OCT4CRISPRi_CnR_H3K9me2	histone	hPSC_d4_OCT4CRISPRi_CnR_IgG
hPSC_Ctl_OCT4CRISPRi_CnR_H3K27ac	histone	hPSC_Ctl_OCT4CRISPRi_CnR_IgG
hPSC_d4_OCT4CRISPRi_CnR_H3K27ac	histone	hPSC_d4_OCT4CRISPRi_CnR_IgG
